,title,rate_meta,rate_user,genre,director,year,studio,duration
0,The Conformist,100,7.3,Drama,Bernardo Bertolucci,1970,Paramount Pictures,1 h 53 m
1,The Godfather,100,9.3,Crime,Francis Ford Coppola,1972,Paramount Pictures,2 h 55 m
2,Citizen Kane,100,8.3,Drama,Orson Welles,1941,Paramount Pictures,1 h 59 m
3,The Leopard (re-release),100,7.9,Drama,Luchino Visconti,2004,Twentieth Century Fox,3 h 6 m
4,Lawrence of Arabia (re-release),100,8.6,Adventure,David Lean,2002,Columbia Pictures,3 h 38 m
5,Three Colors: Red,100,8.3,Drama,Krzysztof Kieslowski,1994,Miramax,1 h 39 m
6,Casablanca,100,8.8,Drama,Michael Curtiz,1943,Warner Bros.,1 h 42 m
7,Boyhood,100,7.5,Drama,Richard Linklater,2014,IFC Films,2 h 45 m
8,Tokyo Story,100,8.2,Drama,Yasujirô Ozu,1972,New Yorker Films,2 h 16 m
9,Rear Window,100,8.7,Mystery,Alfred Hitchcock,1954,Paramount Pictures,1 h 52 m
10,Vertigo,100,8.6,Mystery,Alfred Hitchcock,1958,Paramount Pictures,2 h 8 m
11,Notorious,100,7.8,Drama,Alfred Hitchcock,1946,RKO Radio Pictures,1 h 42 m
12,Fanny and Alexander (re-release),100,8.4,Drama,Ingmar Bergman,2004,Embassy Pictures,3 h 8 m
13,Singin' in the Rain,99,8.7,Comedy,"Stanley Donen,",1952,Metro-Goldwyn-Mayer (MGM),1 h 43 m
14,Playtime,99,7.5,Comedy,Jacques Tati,1973,Continental Distributing,2 h 35 m
15,Touch of Evil,99,8.2,Crime,Orson Welles,1958,Universal Pictures,1 h 35 m
16,Army of Shadows,99,7.8,Drama,Jean-Pierre Melville,2006,Rialto Pictures,2 h 25 m
17,City Lights,99,8.6,Comedy,Charles Chaplin,1931,United Artists,1 h 27 m
18,Moonlight,99,7.1,Drama,Barry Jenkins,2016,A24,1 h 51 m
19,Intolerance,99,6.9,Drama,D.W. Griffith,1916,Triangle Distributing,2 h 43 m
20,The Rules of the Game,99,7.6,Comedy,Jean Renoir,1950,Cine Classics,1 h 50 m
21,Pinocchio,99,8.1,Animation,"Norman Ferguson,",1940,RKO Radio Pictures,1 h 28 m
22,Seven Samurai,98,8.7,Action,Akira Kurosawa,1956,Columbia Pictures,3 h 27 m
23,Au hasard Balthazar,98,7.1,Drama,Robert Bresson,1966,Cinema Ventures,1 h 35 m
24,The Lady Vanishes,98,8.1,Mystery,Alfred Hitchcock,1938,Gaumont British Picture Corporation of America,1 h 36 m
25,Pépé le Moko (re-release),98,,Crime,Julien Duvivier,2002,Arthur Mayer & Joseph Burstyn,1 h 34 m
26,The Treasure of the Sierra Madre,98,8.1,Adventure,John Huston,1948,Warner Bros.,2 h 6 m
27,Pan's Labyrinth,98,8.8,Drama,Guillermo del Toro,2006,Picturehouse,1 h 58 m
28,Some Like It Hot,98,8.4,Comedy,Billy Wilder,1959,United Artists,2 h 1 m
29,North by Northwest,98,8.1,Action,Alfred Hitchcock,1959,Metro-Goldwyn-Mayer (MGM),2 h 16 m
30,Hoop Dreams,98,7.9,Documentary,Steve James,1994,Fine Line Features,2 h 50 m
31,Rashomon,98,8.4,Crime,Akira Kurosawa,1951,RKO Radio Pictures,1 h 28 m
32,The Passion of Joan of Arc,98,8.1,Biography,Carl Theodor Dreyer,1929,M.J. Gourland,1 h 50 m
33,All About Eve,98,8.7,Drama,Joseph L. Mankiewicz,1950,Twentieth Century Fox,2 h 18 m
34,Metropolis (re-release),98,8.5,Drama,Fritz Lang,2002,Paramount Pictures,2 h 33 m
35,Jules and Jim,97,6.9,Drama,François Truffaut,1962,Janus Films,1 h 45 m
36,My Left Foot,97,8.3,Biography,Jim Sheridan,1989,Miramax,1 h 43 m
37,The Night of the Hunter,97,8.2,Crime,Charles Laughton,1955,United Artists,1 h 32 m
38,Ran,97,8.4,Action,Akira Kurosawa,1985,Orion Classics,2 h 40 m
39,Gone with the Wind,97,8.2,Drama,"Victor Fleming,",1940,Metro-Goldwyn-Mayer (MGM),3 h 58 m
40,The Third Man,97,8.4,Film-Noir,Carol Reed,1949,Selznick Releasing Organization,1 h 44 m
41,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,97,8.3,Comedy,Stanley Kubrick,1964,Columbia Pictures,1 h 35 m
42,"Quo Vadis, Aida?",97,8.1,Drama,Jasmila Zbanic,2021,Neon,1 h 41 m
43,Rififi (re-release),97,8.1,Crime,Jules Dassin,2000,Rialto Pictures,1 h 58 m
44,Psycho,97,8.7,Horror,Alfred Hitchcock,1960,Paramount Pictures,1 h 49 m
45,"4 Months, 3 Weeks and 2 Days",97,8.0,Drama,Cristian Mungiu,2008,IFC Films,1 h 53 m
46,Battleship Potemkin,97,8.6,Drama,Sergei Eisenstein,1926,Amkino Corporation,1 h 15 m
47,A Streetcar Named Desire,97,8.3,Drama,Elia Kazan,1951,Warner Bros.,2 h 2 m
48,The Maltese Falcon,97,8.4,Crime,John Huston,1941,Warner Bros.,1 h 40 m
49,American Graffiti,97,7.3,Comedy,George Lucas,1973,Universal Pictures,1 h 50 m
50,12 Angry Men,97,8.7,Crime,Sidney Lumet,1957,United Artists,1 h 36 m
51,Dumbo,96,7.5,Animation,"Samuel Armstrong,",1941,RKO Radio Pictures,1 h 4 m
52,Roma,96,7.6,Drama,Alfonso Cuarón,2018,Netflix,2 h 15 m
53,Man with a Movie Camera,96,6.8,Documentary,Dziga Vertov,1929,Amkino Corporation,1 h 8 m
54,Spirited Away,96,8.8,Animation,Hayao Miyazaki,2002,Buena Vista Pictures Distribution,2 h 5 m
55,Toy Story,96,8.8,Animation,John Lasseter,1995,Buena Vista Pictures Distribution,1 h 21 m
56,"Summer of Soul (...Or, When the Revolution Could Not Be Televised)",96,7.4,Documentary,Questlove,2021,Searchlight Pictures,1 h 58 m
57,The Shop Around the Corner,96,7.5,Comedy,Ernst Lubitsch,1940,Metro-Goldwyn-Mayer (MGM),1 h 39 m
58,Rosemary's Baby,96,8.3,Drama,Roman Polanski,1968,Paramount Pictures,2 h 17 m
59,12 Years a Slave,96,8.1,Biography,Steve McQueen,2013,Fox Searchlight Pictures,2 h 14 m
60,Manchester by the Sea,96,8.2,Drama,Kenneth Lonergan,2016,Roadside Attractions,2 h 17 m
61,The Battle of Algiers,96,8.3,Drama,Gillo Pontecorvo,2004,Rizzoli,2 h 1 m
62,A Hard Day's Night,96,8.3,Comedy,Richard Lester,1964,United Artists,1 h 27 m
63,Killer of Sheep,96,7.5,Drama,Charles Burnett,2007,1 h 20 m,
64,Nashville,96,7.9,Comedy,Robert Altman,1975,Paramount Pictures,2 h 40 m
65,Red River,96,7.1,Drama,"Howard Hawks,",1948,United Artists,2 h 13 m
66,The Philadelphia Story,96,7.8,Comedy,George Cukor,1940,Metro-Goldwyn-Mayer (MGM),1 h 52 m
67,Sansho the Bailiff,96,7.3,Drama,Kenji Mizoguchi,1955,Brandon Films,2 h 4 m
68,Ratatouille,96,8.6,Animation,"Brad Bird,",2007,Buena Vista Pictures,1 h 51 m
69,Snow White and the Seven Dwarfs,96,8.1,Animation,"William Cottrell,",1938,RKO Radio Pictures,1 h 23 m
70,Children of Paradise (1945),96,8.0,Drama,Marcel Carné,2012,Tricolore,3 h 9 m
71,Mean Streets,96,7.3,Crime,Martin Scorsese,1973,Warner Bros.,1 h 52 m
72,The Lady Eve,96,7.6,Comedy,Preston Sturges,1941,Paramount Pictures,1 h 34 m
73,Here,96,6.2,Drama,Bas Devos,2024,1 h 22 m,
74,Gravity,96,7.8,Drama,Alfonso Cuarón,2013,Warner Bros.,1 h 31 m
75,Fantasia,96,8.2,Animation,"James Algar,",1940,Walt Disney Productions,2 h 4 m
76,Beauty and the Beast,95,8.3,Animation,"Gary Trousdale,",1991,Buena Vista Pictures Distribution,1 h 24 m
77,Small Axe: Lovers Rock,95,10,Drama,Steve McQueen,2020,Amazon Prime Video,1 h 10 m
78,The Bride of Frankenstein,95,7.8,Drama,James Whale,1935,Universal Pictures,1 h 15 m
79,Don't Look Now,95,6.9,Drama,Nicolas Roeg,1973,Paramount Pictures,1 h 50 m
80,The Social Network,95,8.2,Biography,David Fincher,2010,Columbia Pictures,2 h
81,My Fair Lady,95,7.5,Drama,George Cukor,1964,Warner Bros.,2 h 50 m
82,Portrait of a Lady on Fire,95,8.4,Drama,Céline Sciamma,2019,Neon,2 h 2 m
83,I Am Not Your Negro,95,10,Documentary,Raoul Peck,2016,Magnolia Pictures,1 h 33 m
84,Woodstock,95,7.9,Documentary,Michael Wadleigh,1970,Warner Bros.,3 h 4 m
85,Aftersun,95,8.0,Drama,Charlotte Wells,2022,A24,1 h 42 m
86,Rocks,95,6.8,Drama,Sarah Gavron,2021,Altitude Film Entertainment,1 h 33 m
87,Amour,95,8.1,Drama,Michael Haneke,2012,Sony Pictures Classics,2 h 7 m
88,The Hurt Locker,95,7.6,Drama,Kathryn Bigelow,2009,Summit Entertainment,2 h 11 m
89,Anatomy of a Murder,95,8.2,Drama,Otto Preminger,1959,Columbia Pictures,2 h 41 m
90,Pulp Fiction,95,9.0,Crime,Quentin Tarantino,1994,Fathom Events,2 h 34 m
91,Zero Dark Thirty,95,6.9,Drama,Kathryn Bigelow,2012,Columbia Pictures,2 h 37 m
92,Collective,95,7.6,Documentary,Alexander Nanau,2020,Participant,1 h 49 m
93,A Separation,95,8.7,Drama,Asghar Farhadi,2011,Sony Pictures Classics,2 h 3 m
94,Double Indemnity,95,8.6,Crime,Billy Wilder,1944,Paramount Pictures,1 h 47 m
95,Sunrise,95,7.3,Drama,F.W. Murnau,1927,Fox Film Corporation,1 h 34 m
96,La Dolce Vita,95,8.4,Comedy,Federico Fellini,1961,Astor Pictures Corporation,2 h 54 m
97,Schindler's List,95,8.7,Biography,Steven Spielberg,1993,Universal Pictures,3 h 15 m
98,WALL-E,95,8.7,Animation,Andrew Stanton,2008,Walt Disney Studios Motion Pictures,1 h 38 m
99,Carol,94,7.9,Drama,Todd Haynes,2015,The Weinstein Company,1 h 58 m
100,Before Midnight,94,8.3,Drama,Richard Linklater,2013,Sony Pictures Classics,1 h 49 m
101,Amazing Grace,94,8.1,Documentary,"Alan Elliott,",2018,Neon,1 h 29 m
102,Dunkirk,94,8.2,Action,Christopher Nolan,2017,Warner Bros.,1 h 46 m
103,The Man Who Shot Liberty Valance,94,8.5,Drama,John Ford,1962,Paramount Pictures,2 h 3 m
104,The Searchers,94,7.8,Adventure,John Ford,1956,Warner Bros.,1 h 59 m
105,45 Years,94,7.3,Drama,Andrew Haigh,2015,Sundance Selects,1 h 35 m
106,Inside the Yellow Cocoon Shell,94,7.2,Drama,Thien An Pham,2024,2 h 59 m,
107,Taxi Driver,94,7.7,Crime,Martin Scorsese,1976,Columbia Pictures,1 h 54 m
108,The Servant,94,7.6,Drama,Joseph Losey,1964,Landau Releasing Organization (LRO),1 h 56 m
109,Yi Yi,94,8.5,Drama,Edward Yang,2000,WinStar Cinema,2 h 53 m
110,The Manchurian Candidate,94,7.9,Drama,John Frankenheimer,1962,United Artists,2 h 6 m
111,Mr. Turner,94,6.9,Biography,Mike Leigh,2014,Sony Pictures Classics,2 h 30 m
112,The Irishman,94,8.1,Biography,Martin Scorsese,2019,Netflix,3 h 29 m
113,Grave of the Fireflies (1988),94,8.7,Animation,Isao Takahata,1989,GKIDS,1 h 29 m
114,"Crouching Tiger, Hidden Dragon",94,8.4,Action,Ang Lee,2000,Sony Pictures Classics,2 h
115,Stop Making Sense,94,8.4,Documentary,Jonathan Demme,1984,Cinecom Pictures,1 h 28 m
116,Shadow of a Doubt,94,8.1,Film-Noir,Alfred Hitchcock,1943,Universal Pictures,1 h 48 m
117,Inside Out,94,8.6,Animation,"Pete Docter,",2015,Walt Disney Studios Motion Pictures,1 h 35 m
118,Meet Me in St. Louis,94,7.2,Comedy,Vincente Minnelli,1945,Metro-Goldwyn-Mayer (MGM),1 h 53 m
119,Sideways,94,7.7,Comedy,Alexander Payne,2004,Fox Searchlight Pictures,2 h 7 m
120,Sunset Boulevard,94,8.5,Drama,Billy Wilder,1950,Paramount Pictures,1 h 50 m
121,The Apartment,94,8.2,Comedy,Billy Wilder,1960,United Artists,2 h 5 m
122,Apocalypse Now,94,8.7,Drama,Francis Ford Coppola,1979,United Artists,2 h 27 m
123,The Gunfighter,94,7.0,Western,Henry King,1950,Twentieth Century Fox,1 h 25 m
124,We Were Here,94,6.6,Documentary,"David Weissman,",2011,Red Flag Releasing (RFR),1 h 30 m
125,Faces Places,94,7.0,Documentary,"JR,",2017,Cohen Media Group,1 h 34 m
126,Days of Heaven,94,8.3,Drama,Terrence Malick,1978,Paramount Pictures,1 h 34 m
127,Past Lives,94,8.0,Drama,Celine Song,2023,A24,1 h 45 m
128,Chimes at Midnight,94,8.4,Comedy,Orson Welles,1967,Peppercorn-Wormser Film Enterprises,1 h 59 m
129,The Lord of the Rings: The Return of the King,94,8.9,Action,Peter Jackson,2003,New Line Cinema,3 h 21 m
130,Call Me by Your Name,94,,Drama,Luca Guadagnino,2017,Sony Pictures Classics,2 h 12 m
131,Trenque Lauquen Parte II,94,,Drama,Laura Citarella,2023,2 h,
132,Trenque Lauquen Parte I,94,,Drama,Laura Citarella,2023,4 h 22 m,
133,Carlos,94,7.9,Biography,Olivier Assayas,2010,IFC Films,5 h 30 m
134,Marriage Story,94,8.1,Drama,Noah Baumbach,2019,Netflix,2 h 17 m
135,The French Connection,94,8.3,Action,William Friedkin,1971,Twentieth Century Fox,1 h 44 m
136,Elevator to the Gallows,94,8.2,Crime,Louis Malle,1961,Victoria Films,1 h 31 m
137,La La Land,94,8.3,Comedy,Damien Chazelle,2016,Lionsgate Films,2 h 8 m
138,Petite Maman,93,7.8,Drama,Céline Sciamma,2021,Neon,1 h 13 m
139,Lady Bird,93,7.6,Comedy,Greta Gerwig,2017,A24,1 h 34 m
140,The Magnificent Ambersons,93,8.0,Drama,"Orson Welles,",1942,RKO Radio Pictures,1 h 28 m
141,Rio Bravo,93,8.3,Drama,Howard Hawks,1959,Warner Bros.,2 h 21 m
142,Reversal of Fortune,93,7.9,Biography,Barbet Schroeder,1990,Warner Bros.,1 h 51 m
143,David Byrne’s American Utopia,93,7.4,Documentary,Spike Lee,2020,Iconic Events Releasing,1 h 45 m
144,Masculine Feminine,93,8.3,Drama,Jean-Luc Godard,1966,Royal Films International,1 h 50 m
145,Shoplifters,93,8.3,Crime,Hirokazu Koreeda,2018,Magnolia Pictures,2 h 1 m
146,Shoah: Four Sisters,93,,Documentary,Claude Lanzmann,2018,Cohen Media Group,4 h 33 m
147,The 39 Steps,93,7.9,Crime,Alfred Hitchcock,1935,Gaumont British Picture Corporation of America,1 h 26 m
148,Duck Soup,93,7.6,Comedy,Leo McCarey,1933,Paramount Pictures,1 h 9 m
149,Toni Erdmann,93,7.1,Comedy,Maren Ade,2016,Sony Pictures Classics,2 h 42 m
150,The Discreet Charm of the Bourgeoisie,93,8.6,Comedy,Luis Buñuel,1972,Twentieth Century Fox,1 h 42 m
151,Uncut Gems,93,7.2,Crime,"Benny Safdie,",2019,Google Play,2 h 15 m
152,McCabe & Mrs. Miller,93,7.4,Drama,Robert Altman,1971,Warner Bros.,2 h
153,Inside Llewyn Davis,93,7.8,Drama,"Ethan Coen,",2013,CBS Films,1 h 44 m
154,The Best Years of Our Lives,93,8.4,Drama,William Wyler,1946,RKO Radio Pictures,2 h 50 m
155,Band of Outsiders,93,7.4,Comedy,Jean-Luc Godard,1966,Pathé Contemporary Films,1 h 35 m
156,Stagecoach,93,7.5,Adventure,John Ford,1939,United Artists,1 h 36 m
157,Our Body,93,,Documentary,Claire Simon,2023,2 h 48 m,
158,Days of Being Wild (re-release),93,8.1,Crime,Kar-Wai Wong,2004,Rim,1 h 40 m
159,Sherpa,93,7.7,Documentary,Jennifer Peedom,2015,Footprint Films,1 h 36 m
160,There Will Be Blood,93,8.7,Drama,Paul Thomas Anderson,2007,Paramount Vantage,2 h 38 m
161,The Last Picture Show,93,8.1,Drama,Peter Bogdanovich,1971,Columbia Pictures,1 h 58 m
162,Hard to Be a God,93,9,Drama,Aleksey German,2015,Kino Lorber,2 h 57 m
163,Do the Right Thing,93,8.2,Comedy,Spike Lee,1989,Universal Pictures,2 h
164,Sita Sings the Blues,93,7.0,Animation,Nina Paley,2009,GKIDS,1 h 22 m
165,The Decline of Western Civilization,93,6.8,Documentary,Penelope Spheeris,1981,Manson International Pictures,1 h 40 m
166,Yojimbo,93,8.2,Action,Akira Kurosawa,1961,Janus Films,1 h 50 m
167,TÁR,93,7.4,Drama,Todd Field,2022,Focus Features,2 h 38 m
168,Top Hat,93,7.3,Comedy,Mark Sandrich,1935,RKO Radio Pictures,1 h 41 m
169,Brother's Keeper,93,7.2,Documentary,"Joe Berlinger,",1992,Creative Thinking International Ltd.,1 h 44 m
170,Badlands,93,8.3,Action,Terrence Malick,1973,Warner Bros.,1 h 34 m
171,Sankofa,93,,Drama,Haile Gerima,1993,2 h 4 m,
172,Crumb,93,8.3,Documentary,Terry Zwigoff,1995,Sony Pictures Classics,1 h 59 m
173,No Bears,93,7.9,Drama,Jafar Panahi,2022,1 h 46 m,
174,8½,93,7.6,Drama,Federico Fellini,1963,Embassy Pictures,2 h 18 m
175,Spotlight,93,8.1,Biography,Tom McCarthy,2015,Open Road Films (II),2 h 9 m
176,Solaris (1972),93,7.9,Drama,Andrei Tarkovsky,1976,Magna,2 h 47 m
177,The Band Wagon,93,,Comedy,Vincente Minnelli,1953,Metro-Goldwyn-Mayer (MGM),1 h 52 m
178,Late Spring (1949),93,8.2,Drama,Yasujirô Ozu,1972,New Yorker Films,1 h 48 m
179,Ikiru,92,8.5,Drama,Akira Kurosawa,1956,Brandon Films,2 h 23 m
180,One More Time with Feeling,92,7.8,Documentary,Andrew Dominik,2016,Picturehouse Entertainment,1 h 53 m
181,The Wizard of Oz,92,8.4,Adventure,"Victor Fleming,",1939,Metro-Goldwyn-Mayer (MGM),1 h 42 m
182,Sugarcane,92,,Documentary,"Emily Kassie,",Disney+,,
183,Ride the High Country,92,,Drama,Sam Peckinpah,1962,Metro-Goldwyn-Mayer (MGM),1 h 34 m
184,The Diving Bell and the Butterfly,92,8.4,Biography,Julian Schnabel,2007,Miramax,1 h 52 m
185,Invasion of the Body Snatchers,92,7.9,Drama,Don Siegel,1956,Allied Artists Pictures,1 h 20 m
186,Close-Up,92,8.6,Biography,Abbas Kiarostami,1999,Facets Multimedia Distribution,1 h 38 m
187,The Class,92,7.9,Drama,Laurent Cantet,2008,Sony Pictures Classics,2 h 8 m
188,King Kong,92,7.7,Adventure,"Merian C. Cooper,",1933,RKO Radio Pictures,1 h 40 m
189,Platoon,92,8.3,Drama,Oliver Stone,1986,Orion Pictures,2 h
190,No Country for Old Men,92,8.5,Crime,"Ethan Coen,",2007,Miramax,2 h 2 m
191,Chinatown,92,8.6,Drama,Roman Polanski,1974,Paramount Pictures,2 h 10 m
192,35 Shots of Rum,92,6.9,Drama,Claire Denis,2009,The Cinema Guild,1 h 40 m
193,Apocalypse Now: Final Cut,92,7.9,Drama,Francis Ford Coppola,2019,United Artists,2 h 27 m
194,Umberto D (re-release),92,8.2,Drama,Vittorio De Sica,2002,Janus Films,1 h 29 m
195,Secrets & Lies,92,8.4,Comedy,Mike Leigh,1996,October Films,2 h 16 m
196,The Florida Project,92,7.4,Drama,Sean Baker,2017,A24,1 h 51 m
197,Timbuktu,92,7.3,Drama,Abderrahmane Sissako,2015,Cohen Media Group,1 h 36 m
198,Frenzy,92,7.5,Thriller,Alfred Hitchcock,1972,Universal Pictures,1 h 56 m
199,Days,92,,Drama,Ming-liang Tsai,2021,Grasshopper Film,2 h 7 m
200,Brief Encounter,92,7.6,Drama,David Lean,1946,Universal Pictures,1 h 26 m
201,Cool Hand Luke,92,8.4,Crime,Stuart Rosenberg,1967,Warner Bros./Seven Arts,2 h 7 m
202,Little Women,92,,Drama,George Cukor,1933,RKO Radio Pictures,1 h 55 m
203,The Act of Killing,92,8.3,Documentary,"Joshua Oppenheimer,",2013,Drafthouse Films,1 h 57 m
204,De Humani Corporis Fabrica,92,6.8,Documentary,"Lucien Castaing-Taylor,",2023,1 h 55 m,
205,Maborosi,92,7.9,Drama,Hirokazu Koreeda,1997,Milestone Film & Video,1 h 50 m
206,E.T. The Extra-Terrestrial,92,8.2,Adventure,Steven Spielberg,1982,Universal Pictures,1 h 55 m
